黑头王森莺,Santa Marta Warbler,Myiothlypis basilica,漂亮的森莺（14厘米）;;⚑在有限的分布范围内，黄色的身体以及黑白相间的头部的组合十分独特;;仅见于哥伦比亚圣玛尔塔山脉的较高海拔处；隐藏在云雾林下层植被的茂密纠结处，尤其是竹林中，很难被清晰地观察到;;成对进行二重唱，其中一只发出一连串有起有伏的吱吱声，其伴侣则加入一连串持续的“tic”声;,哥伦比亚特有
双斑王森莺,Two-banded Warbler,Myiothlypis bivittata,中型（12.5-14厘米）黄色森莺;;喙细且黑色，头部有独特的黑色条纹;;上体多为绿色，下体黄色；头顶呈红褐色或橙色，边缘为黑色，但头顶颜色可能较难确定;;⚑注意橄榄色眉纹在眼前变为黄色，以及亮粉黄色的脚;;⚑在安第斯山脉南部，最似金腹王森莺，但眉纹为橄榄色（而非全黄色）；也似金冠王森莺，但通常出现在更高海拔处，且眉纹为橄榄色（而非白色）;;栖息于安第斯山脉南部东坡山麓森林的茂密下层植被以及特普伊地区，通常以成对或小家族群形式出现，积极觅食昆虫，常加入混群;;在特普伊地区，鸣唱是一连串短促音，随后接一个高音、刺耳的音符；在分布范围南部，鸣唱则大不相同：是一连串丰富活泼的音符，隐约类似莺鹪鹩的叫声，且常由成对个体以二重唱形式发出;
乔科王森莺,Choco Warbler,Myiothlypis chlorophrys,中小型（11.5-13厘米）森莺;;识别特征包括亮黄色的下体，以及贯穿脸部和头顶两侧的深色条纹;;⚑头顶中央的橙色条纹在野外可能不明显;;分布于哥伦比亚西部和厄瓜多尔西北部的云雾林中;;⚑似三纹王森莺，但颜色更黄，顶冠纹更细，且眼下方无月牙纹;;成对或小群在森林中下层积极觅食，常与其他物种混群;;鸣唱是一种渐强且加速的嗡嗡颤音;
金腹王森莺,Cuzco Warbler,Myiothlypis chrysogaster,中小型（11.5-13厘米）森莺;;下体黄色，上体橄榄色，具黄色眉纹;;⚑顶冠纹为橙色，但在野外可能较难看清;;⚑似双斑王森莺，但无断开的眼圈，且头部条纹颜色没有那么深;;见于秘鲁中部至玻利维亚西部安第斯山脉东坡的云雾林中，通常在森林中下层成对出现;;鸣唱是一连串快速清脆的哨音；也会发出沙哑的短促音;,秘鲁近特有
灰喉王森莺,Grey-throated Warbler,Myiothlypis cinereicollis,中型（14厘米）森莺;;上体橄榄色，腹部黄色，头部灰色，头顶中央有黄色纵纹;;⚑仅具隐约较深的过眼纹和较淡的眉纹;;⚑似褐冠王森莺，但头部斑纹较暗淡;;栖息于海拔约800-2100米的山地森林下层;
白眼先王森莺,White-lored Warbler,Myiothlypis conspicillata,仅见于哥伦比亚的圣玛尔塔山脉的灰黄色森莺（14厘米）;;⚑注意其眼上下方的白色月牙纹、眼与喙之间的白色条纹以及深色的冠纹;;通常成对出现，在云雾林内活动位置较低;;会发出一连串尖细、高音的音符，成对的个体常一起鸣唱;,哥伦比亚特有
褐冠王森莺,Russet-crowned Warbler,Myiothlypis coronata,结实的莺（14厘米）;;上体呈橄榄色，头部为灰色;;⚑有明显的黑色侧冠纹和棕红色的顶冠纹;;⚑下体的颜色从鲜黄（下图）到淡灰（上图）不一;;海拔范围在1500-3000米之间，通常成对在森林的林下觅食；常混群;;鸣唱为一系列上升的音符，通常以二重奏的形式呈现;
黄王森莺,Flavescent Warbler,Myiothlypis flaveola,见于落叶干燥森林和长廊林的黄色森莺（14.5厘米）;;上体橄榄绿色，下体黄色，腿部橙色;;⚑留意其醒目的黄色眉纹;;在地面极为活跃地觅食;;鸣唱响亮且悦耳，为“titzi teetee teetee chiiw chiiw chiiw”;,巴西近特有
灰黄王森莺,Grey-and-gold Warbler,Myiothlypis fraseri,漂亮的灰黄相间的森莺（14厘米）;;⚑注意其黑色冠纹，两侧为灰色眉纹，眉纹靠近喙基部处变为白色;;最常见于干燥森林，但在一些地区也延伸至湿度较高的森林;;单独或成对在森林下层积极觅食;;常发出欢快的鸣唱，由高音、清脆的音符组成;
黄腰王森莺,Buff-rumped Warbler,Myiothlypis fulvicauda,近水的中型（13.5厘米）地栖莺;;上体棕色，下体淡棕灰色;;⚑似硫磺腰霸鹟和黑尾黄腰霸鹟，但注意淡色的眉纹;;⚑常上下摆尾，使得尾下的棕黄色非常显眼;;⚑semicervina亚种（上图）在腰和尾上的浅色区域更广，仅末端四分之一为深色，颜色比指名亚种（下图）更丰富，下体也更为深褐;;通常接近森林溪流，也常看到其沿小径跳跃，有时会出现在军蚁群附近;;鸣唱异常响亮，为一系列大声、加速的“chew”声;
灰头王森莺,Grey-headed Warbler,Myiothlypis griseiceps,委内瑞拉东北部的亮黄色森莺（14厘米）;;头部灰色，白色眉纹极短，腿部橙色;;似更为常见的金冠王森莺，但无黑色冠纹且背部非灰色;;不常见，常成对、以家族群形式或与其他物种混群，活动于云雾林下层、林缘及竹林，但总是靠近成熟森林区域;;清晨活跃发声，有着独特的鸣叫和鸣唱，常以极响亮的二重唱形式出现；鸣唱是悦耳、重复且响亮的五音符“we-chee-cHEEw，wee-cHEEw”；鸣叫为“chack”声或短颤音；二重唱是鸣唱与“chack”鸣叫同时发出;,委内瑞拉特有
白眉王森莺,White-rimmed Warbler,Myiothlypis leucoblephara,常靠近水源的茂密森林下层的灰绿色森莺（14.5厘米）;;⚑注意其不完整的白色眼圈和短的白色眉纹，与灰色头部及深色冠纹形成对比;;背部橄榄绿色，胁部灰色，腹部白色;;⚑似白纹王森莺，但没有长长的白色眉纹和白色脸部;;觅食时活动频繁;;鸣唱是一连串悦耳的下行音符;
白纹王森莺,White-striped Warbler,Myiothlypis leucophrys,极为活跃好动的森莺（14厘米）;;⚑留意其宽阔的白色眉纹，边缘呈灰色，还有狭窄的深色眼罩;;在靠近水源的森林下层，会紧张且持续地摆尾;;有灰色的“披肩”，脸部白色，上体多为橄榄绿色，下体灰色;;鸣唱是一连串响亮、悦耳的清脆音符;,巴西特有
柠黄王森莺,Citrine Warbler,Myiothlypis luteoviridis,羽色相当暗淡的黄色森莺（13-14厘米）;;⚑相较于同属其他成员，其橄榄色调更浓郁;;⚑喉部和眉纹的黄色最为鲜亮;;⚑似黑冠王森莺，但后者眉纹黄色更醒目，且具黑色冠羽;;分布于安第斯山脉，从委内瑞拉到玻利维亚，海拔约2300-3400米；成对在森林下层及林缘觅食，常混群;
黑冠王森莺,Black-crested Warbler,Myiothlypis nigrocristata,中型（13.5厘米）黄色森莺;;上体橄榄色，下体亮黄色，具亮黄色眉纹和黑色冠羽;;⚑似柠黄王森莺，但后者无黑色冠羽;;见于海拔约2500-3500米的安第斯森林林下植被及灌丛中；成对在低处觅食，常混于混群中，在茂密的灌丛和竹林中较难发现;;常通过一连串加速的悦耳短促声被察觉;
河岸王森莺,Riverbank Warbler,Myiothlypis rivularis,头部似莺雀的褐色森莺（11-13.5厘米）;;⚑注意浓重的白色眉纹，与灰色的冠部形成鲜明对比，冠部边缘带有黑色;;上体主要为橄榄绿色，下体为褐色;;⚑北方亚种（上图）缺乏冠部的黑色边缘，下体和眉纹为桂皮褐色;;通常在河流和溪流旁的森林地面上觅食;;鸣唱是一系列逐渐升高的非常响亮的哨声;
淡脚王森莺,Pale-legged Warbler,Myiothlypis signata,山地森林的中型（13.5厘米）黄色森莺;;脚呈淡粉色，有浅色的眉纹;;⚑似柠黄王森莺，但面部图案较淡，眼先颜色更浅；虽然分布海拔有显著重叠，但通常比后者分布的海拔低;;鸣唱为一连串加速的清脆音符，先升高后转为多变的啁啾声;
金眉王森莺,Golden-browed Warbler,Basileuterus belli,迷人的森莺（13厘米）;;⚑整体可能显得相当暗淡，但头部有精美的花纹：宽阔的金黄眉纹，与深锈色的脸颊和顶冠形成鲜明对比;;栖息于高地森林中阴暗茂密的下层植被，偏好相对湿润的松栎林、冷杉林以及松常绿林，通常十分隐匿；一般在林下中低位置的灌丛花丛或其他遮蔽处成对出现，不常加入混群;
金冠王森莺,Golden-crowned Warbler,Basileuterus culicivorus,小型（12-13.5厘米）森莺;;⚑整体呈灰色，下体呈黄色，巴西南部亚种（上图）呈白色;;⚑头部具黑色侧冠纹和暗淡且微弱的金色或暗橙色的顶冠纹;;常成对出现在开阔的密林中下层;
栗顶王森莺,Chestnut-capped Warbler,Basileuterus delattrii,小型（13厘米）长尾森莺;;⚑注意锈色的头顶、脸颊和白色眉纹的组合;;喙粗，下体黄色;;见于林缘的茂密林下，常成对或小群在灌丛低处跳跃;
王森莺,Pirre Warbler,Basileuterus ignotus,分布范围极为狭窄森莺（13厘米）;;⚑头部斑纹独具特色，留意醒目的白色眉纹和红褐色顶冠;;整体呈褐色，下体颜色略淡，腿和喙呈粉红色;;在海拔约1200至1650米的潮湿山地森林下层植被中，常成对出现，有时会追随混群;,巴拿马特有
扇尾森莺,Fan-tailed Warbler,Basileuterus lachrymosus,迷人且体型较大的森莺;;⚑尾长，具白色尖端且动作灵动;;脸部有白色斑点，上体蓝灰色，胸部呈浓郁的橙黄色;;主要在冬季出现于山麓和低地的热带森林中，尤其偏好林下开阔且有巨石的区域；主要在地面或近地面处觅食，尾松弛地左右摆动；常跟随行军蚁群;
黑颊王森莺,Black-cheeked Warbler,Basileuterus melanogenys,小型（13.5厘米）灰色森莺;;⚑黑色的脸颊、红褐色的冠部和清晰的长白色眉纹的组合独具特色;;胸前灰白色;;成对或成小群出现，通常混群；在森林和林缘的下层活动;,中美洲特有
黑耳王森莺,Black-eared Warbler,Basileuterus melanotis,小型（13厘米）林下森莺;;整体暗黄褐色;;头部和脸颊有粗黑条纹;;⚑似食虫森莺和金冠王森莺，但下体为淡黄色，且具黑色的脸颊;;成对或小群在森林下层移动；常混群;,哥斯达黎加近特有
云加斯王森莺,Yungas Warbler,Basileuterus punctipectus,迷人的森莺（11-13厘米）;;⚑注意其精致的头部花纹以及橄榄色（而非黄色）的羽;;⚑最似河岸王森莺以及白腹型金冠王森莺，但眼下方有深色环线，且所处海拔更高;;通常在云雾林的中下层以成对形式出现;;鸣唱是一连串逐渐升高的尖细音符，随后是一阵啁啾声。它曾被视作三纹柳莺的一个亚种组。;,玻利维亚近特有
棕顶王森莺,Rufous-capped Warbler,Basileuterus rufifrons,迷人活泼且尾长的莺类（13厘米）;;留意其白色眉纹、栗色顶冠和黄色喉部斑纹;;⚑墨西哥东南部和伯利兹的个体（上图）下体大部分为黄色;;广泛分布于山麓和高地，部分低地地区也有分布；偏爱毗邻林地和灌木丛的灌丛与杂草丛生区域；通常成对或小群活动，在低矮灌丛中翘着尾跳跃;;发出的嗡嗡颤音和嘁喳声，通常以多段序列的形式呈现;
东黑耳王森莺,Tacarcuna Warbler,Basileuterus tacarcunae,貌不惊人的森莺（13厘米）;;整体呈暗褐色，下体稍淡，呈浅黄色，头部有条纹;;人们对其了解甚少，也不常见到，以成对或小群体形式出现在潮湿山地森林的下层植被中;;留意其高音的啁啾鸣唱;,巴拿马近特有
三斑王森莺,Three-banded Warbler,Basileuterus trifasciatus,小型（12.5厘米）森莺;;身体呈黄色，头部偏灰色且有醒目的深色条纹;;⚑没有灰黄王森莺那样的黑色冠纹和白色“眼斑”;;⚑似三纹王森莺，但头和颈部更灰，冠部没有黄色，且脸部斑纹颜色略淡、范围更小;;见于秘鲁西北部和厄瓜多尔西南部的安第斯山脉地区，栖息于干燥和湿润的森林中，在树枝间活跃地穿梭;
三纹王森莺,Three-striped Warbler,Basileuterus tristriatus,活跃而喧闹的森莺（13厘米）;;注意橄榄色的上体和头部的顶冠纹和侧冠纹;;⚑下体颜色和脸颊斑块的范围在其分布范围内有所变化（如图）;;⚑与分布范围内其他类似森莺的区别：头部的深色条纹通常与背部形成对比，眉纹白色而非黄色;;通常成对或成家庭群体见于中高山云雾森林的中低层;;典型的鸣唱开始时是一个上升的颤音，然后变成混乱的啾啾声;
加拿大威森莺,Canada Warbler,Cardellina canadensis,中型（12-15厘米）细嘴的森莺;;⚑上体蓝灰色，下体黄色，具独特的黄色眼圈和黑色的“项链”，雌鸟的“项链”较模糊;;⚑脚呈淡橙色，尾下覆羽白色;;喜潮湿的树林和灌丛，在地面筑巢，以昆虫为食，是迁徙最远的森莺之一;
黑头威森莺,Wilson's Warbler,Cardellina pusilla,小型（10-12厘米）明亮的黄色森莺;;⚑成鸟和亚成雄鸟都有黑色的头顶，但年轻的雌鸟（上图）头顶不黑;;⚑似美洲黄林莺，但体型更小，喙更小，尾相对更长，更窄;;⚑觅食时会主动翻转其长而窄的尾;;喜茂密的灌木丛，尤其是柳树和桤木;
红头虫莺,Red Warbler,Cardellina rubra,独特而活跃的鲜红色中小型（12.5-13.5厘米）森莺;;⚑特有于墨西哥的高原地区，墨西哥中部和南部的亚种（下图）脸颊斑块为白色，而在墨西哥西北部（上图）则呈银灰色;;⚑范围内无类似的物种;;喜湿润的针叶林、松栎林以及附近的灌丛地带，通常成对出现，在各层觅食，常混群移动;,墨西哥特有
红脸森莺,Red-faced Warbler,Cardellina rubrifrons,令人惊艳的森莺（14厘米）;;整体呈灰色，脸部有醒目的红黑相间图案;;⚑尾较长，时常活跃地摆动，仿佛与身体连接得较为松散;;⚑幼鸟脸部橙红色较暗淡;;见于松树与橡树混生的山区和峡谷;
粉头虫莺,Pink-headed Warbler,Cardellina versicolor,危地马拉和恰帕斯高地的中型（13厘米）林莺;;整体呈红色，头部和胸部呈银粉色，翅和尾为深色；没有相似物种;;偏好潮湿的针叶林、松栎林及邻近的灌丛地区；通常成对活动，在各个高度觅食，常混群活动;
白脸鸲莺,White-faced Whitestart,Myioborus albifacies,羽色醒目的森莺（13厘米）;;白色的脸颊，与黑色顶冠、黄色下体及灰色背部形成鲜明对比;;⚑和其他鸲莺一样，外侧尾羽为白色，觅食时会显眼地闪动;;目前已知仅分布于委内瑞拉中南部极为偏远的平顶山：包括西帕波山（Cerro Sipapo）、瓜纳伊山（Cerro Guanay）与亚维山（Cerro Yaví）；这些山地极为难以抵达，以至于极少有观鸟者或鸟类学家见过该物种;,委内瑞拉特有
白额鸲莺,White-fronted Whitestart,Myioborus albifrons,迷人且极为活跃的森莺（13-13.5厘米）;;下体亮黄色，上体和头部石板灰色，顶冠红褐色，有醒目的白色眼圈，尾羽具白边;;⚑似暗喉鸲莺，但具明显的白色眼圈和更鲜亮的红褐色顶冠;;常见于安第斯山脉高海拔云雾林的树冠层和中层的混群;;在觅食昆虫时会扇动翅和尾;;鸣唱是一连串悦耳的啭鸣音符;,委内瑞拉特有
褐顶鸲莺,Brown-capped Whitestart,Myioborus brunniceps,玻利维亚和阿根廷西北部山地森林中极具吸引力的鸲莺（13厘米）;;⚑在玻利维亚，可根据不完整的白色眼圈将其与其他鸲莺区分；在阿根廷，其是唯一的鸲莺;;⚑还要留意其黄色的下体、锈色的顶冠以及尾羽腹面的白色;;在森林的中下层积极觅食，有时会加入混群;;鸣唱是一种高音、渐强的颤音;
